rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
29,Serbia,SRB,1525.4,1529.49,-4.09,UEFA,2023-10-26
30,Hungary,HUN,1521.9,1517.73,4.17,UEFA,2023-10-26
31,Poland,POL,1519.28,1524.61,-5.33,UEFA,2023-10-26
34,Scotland,SCO,1512.34,1522.67,-10.33,UEFA,2023-10-26
38,Türkiye,TUR,1498.5,1475.4,23.10,UEFA,2023-10-26
39,Russia,RUS,1497.63,1495.53,2.10,UEFA,2023-10-26
41,Czechia,CZE,1489.72,1500.44,-10.72,UEFA,2023-10-26
42,Norway,NOR,1469.56,1470.88,-1.32,UEFA,2023-10-26
48,Romania,ROU,1446.52,1448.2,-1.50,UEFA,2023-10-26
50,Slovakia,SVK,1445.34,1442.84,2.50,UEFA,2023-10-26
51,Greece,GRE,1442.96,1437.26,5.70,UEFA,2023-10-26
54,Slovenia,SVN,1428.1,1404.72,23.38,UEFA,2023-10-26
58,Republic of Ireland,IRL,1406.94,1416.32,-9.38,UEFA,2023-10-26
59,Albania,ALB,1396.83,1377.47,19.36,UEFA,2023-10-26
62,Finland,FIN,1388.46,1418.43,-29.97,UEFA,2023-10-26
63,Bosnia and Herzegovina,BIH,1368.3,1370.37,-2.07,UEFA,2023-10-26
66,North Macedonia,MKD,1358.41,1362.95,-4.54,UEFA,2023-10-26
67,Iceland,ISL,1353.17,1351.93,1.24,UEFA,2023-10-26
70,Montenegro,MNE,1344.3,1349.34,-5.04,UEFA,2023-10-26
71,Israel,ISR,1336.34,1336.34,0.00,UEFA,2023-10-26
75,Northern Ireland,NIR,1325.06,1333.2,-8.14,UEFA,2023-10-26
76,Georgia,GEO,1312.14,1299.32,12.82,UEFA,2023-10-26
84,Bulgaria,BUL,1279.12,1300.74,-21.62,UEFA,2023-10-26
87,Luxembourg,LUX,1266.67,1273.55,-6.88,UEFA,2023-10-26
95,Armenia,ARM,1234.25,1254.47,-20.22,UEFA,2023-10-26
98,Kazakhstan,KAZ,1219.65,1206.94,12.71,UEFA,2023-10-26
100,Belarus,BLR,1212.52,1198.22,14.30,UEFA,2023-10-26
105,Kosovo,KOS,1190.74,1181.91,8.83,UEFA,2023-10-26
118,Estonia,EST,1159.33,1172.25,-12.92,UEFA,2023-10-26
120,Azerbaijan,AZE,1155.91,1147.69,8.22,UEFA,2023-10-26
124,Cyprus,CYP,1141.27,1155.95,-14.68,UEFA,2023-10-26
132,Latvia,LVA,1101.7,1089.99,11.71,UEFA,2023-10-26
134,Lithuania,LTU,1098.48,1072.21,26.27,UEFA,2023-10-26
135,Faroe Islands,FRO,1097.66,1106.52,-8.86,UEFA,2023-10-26
157,Moldova,MDA,1018.45,1010.1,8.35,UEFA,2023-10-26
159,Andorra,AND,1011.68,1024.58,-12.90,UEFA,2023-10-26
171,Malta,MLT,968.25,972.02,-3.77,UEFA,2023-10-26
198,Gibraltar,GIB,842.07,845.4,-3.33,UEFA,2023-10-26
200,Liechtenstein,LIE,837.61,843.63,-6.02,UEFA,2023-10-26
207,San Marino,SMR,746.98,750.27,-3.29,UEFA,2023-10-26
